segment,sentence,classification
44,"He was referring to one of the male figures in white, whose head was a portrait of Dr. Benjamin Hitz, the hospital's Chief Obstetrician.",1
45,Hitz was a blindingly handsome man.,1
46,"Lot of faces still to fill in,"""" said the orderly.",1
47,He meant that the faces of many of the figures in the mural were still blank.,1
48,"All blanks were to be filled with portraits of important people on either the hospital staff or from the Chicago Office of the Federal Bureau of Termination.""",1
49,"""Must be nice to be able to make pictures that look like something,"" said the orderly.",1
50,The painter's face curdled with scorn.,1
51,"You think I'm proud of this daub?"""" he said.",1
52,"You think this is my idea of what life really looks like?""""""",1
53,"""What's your idea of what life looks like?"" said the orderly.",1
54,The painter gestured at a foul dropcloth.,1
55,"There's a good picture of it,"""" he said.",1
56,"Frame that, and you'll have a picture a damn sight more honest than this one.""""",1
57,"""You're a gloomy old duck, aren't you?"" said the orderly.",1
58,"""Is that a crime?"" said the painter.",1
59,The orderly shrugged.,1
60,"If you don't like it here, Grandpa—"""" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call.",1
61,"The zero in the telephone number he pronounced """"naught.""""",1
62,"The number was: ""2 B R 0 2 B.""",1
63,"It was the telephone number of an institution whose fanciful sobriquets included: ""Automat,"" ""Birdland,"" ""Cannery,"" ""Catbox,"" ""De-louser,"" ""Easy-go,"" ""Good-by, Mother,"" ""Happy Hooligan,"" ""Kiss-me-quick,"" ""Lucky Pierre,"" ""Sheepdip,"" ""Waring Blendor,"" ""Weep-no-more"" and ""Why Worry?""",1
64,"""To be or not to be"" was the telephone number of the municipal gas chambers of the Federal Bureau of Termination.",1
65,The painter thumbed his nose at the orderly.,1
66,"When I decide it's time to go,"""" he said, """"it won't be at the Sheepdip.""""",1
67,"A do-it-yourselfer, eh?"""" said the orderly.",1
68,"Messy business, Grandpa.",1
69,"Why don't you have a little consideration for the people who have to clean up after you?""""",1
70,The painter expressed with an obscenity his lack of concern for the tribulations of his survivors.,1
71,"The world could do with a good deal more mess, if you ask me,"""" he said.",1
72,The orderly laughed and moved on.,1
73,"Wehling, the waiting father, mumbled something without raising his head.",1
74,And then he fell silent again.,1
75,"A coarse, formidable woman strode into the waiting room on spike heels.",1
76,"Her shoes, stockings, trench coat, bag and overseas cap were all purple, the purple the painter called """"the color of grapes on Judgment Day.""""",1
77,"The medallion on her purple musette bag was the seal of the Service Division of the Federal Bureau of Termination, an eagle perched on a turnstile.",1
78,"The woman had a lot of facial hair—an unmistakable mustache, in fact.",1
79,"A curious thing about gas-chamber hostesses was that, no matter how lovely and feminine they were when recruited, they all sprouted mustaches within five years or so.",1
80,"Is this where I'm supposed to come?"""" she said to the painter.",1
81,"A lot would depend on what your business was,"""" he said.",1
82,"You aren't about to have a baby, are you?""""",1
83,"They told me I was supposed to pose for some picture,"""" she said.",1
84,"My name's Leora Duncan.""",1
85,She waited.,1
86,"""And you dunk people,"" he said.",1
87,"""What?"" she said.",1
88,"""Skip it,"" he said.",1
89,"That sure is a beautiful picture,"""" she said.",1
90,"Looks just like heaven or something.""""",1
91,"Or something,"""" said the painter.",1
92,He took a list of names from his smock pocket.,1
93,"Duncan, Duncan, Duncan,"""" he said, scanning the list.",1
94,Yes—here you are.,1
95,You're entitled to be immortalized.,1
96,See any faceless body here you'd like me to stick your head on?,1
97,We've got a few choice ones left.,1
98,She studied the mural bleakly.,1
99,"Gee,"""" she said, """"they're all the same to me.",1
100,"I don't know anything about art.""""",1
101,"A body's a body, eh?"""" he said, ""All righty.",1
102,"As a master of fine art, I recommend this body here.""""",1
103,He indicated a faceless figure of a woman who was carrying dried stalks to a trash-burner.,1
104,"Well,"""" said Leora Duncan, """"that's more the disposal people, isn't it?",1
105,"I mean, I'm in service.",1
106,I don't do any disposing.,1
107,The painter clapped his hands in mock delight.,1
108,"You say you don't know anything about art, and then you prove in the next breath that you know more about it than I do!""""",1
109,Of course the sheave-carrier is wrong for a hostess!,1
110,"A snipper, a pruner—that's more your line.",1
111,He pointed to a figure in purple who was sawing a dead branch from an apple tree.,1
112,"How about her?"""" he said. ",1
113,"You like her at all?""""",1
114,"""Gosh—"" she said, and she blushed and became humble—""that—that puts me right next to Dr. Hitz.""",1
115,"""That upsets you?"" he said.",1
116,"""Good gravy, no!"" she said.",1
117,"""It's—it's just such an honor.""",1
118,"""Ah, You... you admire him, eh?"" he said.",1
119,"Who doesn't admire him?"""" she said, worshiping the portrait of Hitz.",1
120,"It was the portrait of a tanned, white-haired, omnipotent Zeus, two hundred and forty years old.",1
121,"Who doesn't admire him?"""" she said again.",1
122,"He was responsible for setting up the very first gas chamber in Chicago.""""""",1
123,"""Nothing would please me more,"" said the painter, ""than to put you next to him for all time.",1
124,"Sawing off a limb—that strikes you as appropriate?""",1
125,"That is kind of like what I do,"""" she said.",1
126,She was demure about what she did.,1
127,What she did was make people comfortable while she killed them.,1
128,"And, while Leora Duncan was posing for her portrait, into the waitingroom bounded Dr. Hitz himself.",1
129,"He was seven feet tall, and he boomed with importance, accomplishments, and the joy of living.",1
130,"Well, Miss Duncan!",1
131,"Miss Duncan!"""" he said, and he made a joke.",1
132,"What are you doing here?"""" he said.",1
133,This isn't where the people leave.,1
134,"This is where they come in!""""",1
135,"""We're going to be in the same picture together,"" she said shyly.",1
136,"Good!"""" said Dr. Hitz heartily.",1
137,"And, say, isn't that some picture?""""",1
138,"""I sure am honored to be in it with you,"" she said.",1
139,"""Let me tell you,"" he said, ""I'm honored to be in it with you.",1
140,"Without women like you, this wonderful world we've got wouldn't be possible.""",1
141,He saluted her and moved toward the door that led to the delivery rooms.,1
142,"Guess what was just born,"""" he said.",1
143,"""I can't,"" she said.",1
144,"""Triplets!"" he said.",1
145,"Triplets!"""" she said.",1
146,She was exclaiming over the legal implications of triplets.,1
147,The law said that no newborn child could survive unless the parents of the child could find someone who would volunteer to die.,1
148,"Triplets, if they were all to live, called for three volunteers.",0
149,"""Do the parents have three volunteers?"" said Leora Duncan.",1
150,"""Last I heard,"" said Dr. Hitz, ""they had one, and were trying to scrape another two up.""",1
151,"I don't think they made it,"""" she said.",1
152,Nobody made three appointments with us.,0
153,"Nothing but singles going through today, unless somebody called in after I left.",1
154,"What's the name?""""",1
155,"Wehling,"""" said the waiting father, sitting up, red-eyed and frowzy.",1
156,"Edward K. Wehling, Jr., is the name of the happy father-to-be.""""",1
157,"He raised his right hand, looked at a spot on the wall, gave a hoarsely wretched chuckle.",1
158,"Present,"""" he said.",1
159,"""Oh, Mr. Wehling,"" said Dr. Hitz, ""I didn't see you.""",1
160,"""The invisible man,"" said Wehling.",1
161,"They just phoned me that your triplets have been born,"""" said Dr. Hitz.",1
162,"They're all fine, and so is the mother.",1
163,"I'm on my way in to see them now.""""",1
164,"""Hooray,"" said Wehling emptily.",1
165,"""You don't sound very happy,"" said Dr. Hitz.",1
166,"What man in my shoes wouldn't be happy?"""" said Wehling.",1
167,He gestured with his hands to symbolize care-free simplicity.,0
168,"All I have to do is pick out which one of the triplets is going to live, then deliver my maternal grandfather to the Happy Hooligan, and come back here with a receipt.""""",1
169,"Dr. Hitz became rather severe with Wehling, towered over him.",1
170,"You don't believe in population control, Mr. Wehling?"""" he said.",1
171,"""I think it's perfectly keen,"" said Wehling tautly.",1
172,"""Would you like to go back to the good old days, when the population of the Earth was twenty billion—about to become forty billion, then eighty billion, then one hundred and sixty billion?",1
173,"Do you know what a drupelet is, Mr. Wehling?"" said Hitz.",1
174,"""Nope,"" said Wehling sulkily.",1
175,"A drupelet, Mr. Wehling, is one of the little knobs, one of the little pulpy grains of a blackberry,"""" said Dr. Hitz.",1
176,"Without population control, human beings would now be packed on this surface of this old planet like drupelets on a blackberry!",1
177,"Think of it!""""""",1
178,Wehling continued to stare at the same spot on the wall.,1
179,"""In the year 2000,"" said Dr. Hitz, ""before scientists stepped in and laid down the law, there wasn't even enough drinking water to go around, and nothing to eat but sea-weed—and still people insisted on their right to reproduce like jackrabbits.",1
180,"And their right, if possible, to live forever.""",1
181,"I want those kids,"""" said Wehling quietly.",1
182,"I want all three of them.""""",1
183,"Of course you do,"""" said Dr. Hitz.",1
184,"That's only human.""""",1
185,"""I don't want my grandfather to die, either,"" said Wehling.",1
186,"""Nobody's really happy about taking a close relative to the Catbox,"" said Dr. Hitz gently, sympathetically.",1
187,"""I wish people wouldn't call it that,"" said Leora Duncan.",1
188,"""What?"" said Dr. Hitz.",1
189,"I wish people wouldn't call it 'the Catbox,' and things like that,"""" she said.",1
190,"It gives people the wrong impression.""""",1
191,"You're absolutely right,"""" said Dr. Hitz.",1
192,"Forgive me.""""",1
193,"He corrected himself, gave the municipal gas chambers their official title, a title no one ever used in conversation.",1
194,"I should have said, 'Ethical Suicide Studios,'"""" he said.""",1
195,"""That sounds so much better,"" said Leora Duncan.",1
196,"This child of yours—whichever one you decide to keep, Mr. Wehling,"""" said Dr. Hitz.",1
197,"He or she is going to live on a happy, roomy, clean, rich planet, thanks to population control.",0
198,"In a garden like that mural there.""""",1
199,He shook his head.,1
200,"Two centuries ago, when I was a young man, it was a hell that nobody thought could last another twenty years.",1
201,"Now centuries of peace and plenty stretch before us as far as the imagination cares to travel.""""",1
202,He smiled luminously.,1
203,The smile faded as he saw that Wehling had just drawn a revolver.,1
204,Wehling shot Dr. Hitz dead.,1
205,"There's room for one—a great big one,"" he said.",1
206,And then he shot Leora Duncan.,1
207,"It's only death,"""" he said to her as she fell.",1
208,"There! Room for two.""""",1
209,"And then he shot himself, making room for all three of his children.",1
210,Nobody came running.,1
211,"Nobody, seemingly, heard the shots.",0
212,"The painter sat on the top of his stepladder, looking down reflectively on the sorry scene.",1
213,"The painter pondered the mournful puzzle of life demanding to be born and, once born, demanding to be fruitful ... to multiply and to live as long as possible—to do all that on a very small planet that would have to last forever.",1
214,All the answers that the painter could think of were grim.,1
215,"Even grimmer, surely, than a Catbox, a Happy Hooligan, an Easy Go.",1
216,He thought of war.,0
217,He thought of plague.,1
218,He thought of starvation.,1
219,He knew that he would never paint again.,0
220,He let his paintbrush fall to the drop-cloths below.,1
221,"And then he decided he had had about enough of life in the Happy Garden of Life, too, and he came slowly down from the ladder.",1
222,"He took Wehling's pistol, really intending to shoot himself.",1
223,But he didn't have the nerve.,1
224,And then he saw the telephone booth in the corner of the room.,1
225,"He went to it, dialed the well-remembered number: """"2 B R 0 2 B.""""",1
226,"""Federal Bureau of Termination,"" said the very warm voice of a hostess.",1
227,"""How soon could I get an appointment?"" he asked, speaking very carefully.",1
228,"We could probably fit you in late this afternoon, sir,"""" she said.",1
229,"It might even be earlier, if we get a cancellation.""""",1
230,"All right,"""" said the painter, """"fit me in, if you please.""""",1
231,"And he gave her his name, spelling it out.",1
232,"Thank you, sir,"""" said the hostess.",1
233,"""Your city thanks you; your country thanks you; your planet thanks you.",1
234,"But the deepest thanks of all is from future generations.""",1
