,segment,sentence,translation,cosine_distance
127,142,"Guess what was just born,"""" he said.",—Adivine qué acaba de nacer —dijo.,0.08328527
195,213,"The painter pondered the mournful puzzle of life demanding to be born and, once born, demanding to be fruitful ... to multiply and to live as long as possible—to do all that on a very small planet that would have to last forever.","El pintor reflexionó sobre el triste rompecabezas de la vida que exige nacer y, una vez en el mundo, exige fructificar… multiplicarse y vivir el máximo posible, y cumplir con este destino en un pequeñísimo planeta que debe durar para siempre.",0.08707249
87,100,"I don't know anything about art.""""",Es que no sé nada de arte.,0.09368098
143,158,"Present,"""" he said.",—Presente —dijo.,0.09392738
92,105,"I mean, I'm in service.",Quiero decir que yo soy de servicio.,0.09395409
147,162,"They're all fine, and so is the mother.",Están todos bien y también la mamá.,0.09493303
19,24,The mural he was working on depicted a very neat garden.,El mural en el que trabajaba representaba un jardín extremadamente cuidado.,0.09523362
67,80,"Is this where I'm supposed to come?"""" she said to the painter.",—¿Es aquí donde se supone que tengo que venir? ~~~ —le dijo al pintor.,0.10698563
106,119~~~120,"Who doesn't admire him?"""" she said, worshiping the portrait of Hitz. ~~~ It was the portrait of a tanned, white-haired, omnipotent Zeus, two hundred and forty years old.","—¿Y quién no lo admira? ~~~ —dijo, mirando con veneración el retrato de Atiza. ~~~ Era el retrato de un Zeus omnipotente, de pelo blanco y moreno de doscientos cuarenta años—.",0.10718781
163,179~~~180,"""In the year 2000,"" said Dr. Hitz, ""before scientists stepped in and laid down the law, there wasn't even enough drinking water to go around, and nothing to eat but sea-weed—and still people insisted on their right to reproduce like jackrabbits. ~~~ And their right, if possible, to live forever.""","—En el año 2000 —dijo el doctor Atiza—, antes de que los científicos intervinieran y aplicaran la ley, no existía siquiera suficiente agua potable para todos y solo se podían comer algas, y, a pesar de todo, la gente insistía en su derecho a reproducirse como conejos; y en su derecho, a ser posible, de vivir eternamente.",0.10843873
214,233,"""Your city thanks you; your country thanks you; your planet thanks you.",La ciudad le da las gracias; el país le da las gracias; el planeta le da las gracias.,0.10927427
70,83,"They told me I was supposed to pose for some picture,"""" she said.",—Me dijeron que tenía que posar para un cuadro —dijo ella—.,0.11207837
49,60,"If you don't like it here, Grandpa—"""" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call.","«Abuelo, si no le gusta…», dijo y completó la idea con el número de teléfono con truco al que había que llamar si ya no querías seguir viviendo.",0.11326915
105,118,"""Ah, You... you admire him, eh?"" he said.","—Ah, usted… lo admira, ¿verdad? ~~~ —dijo él.",0.11337221
5,7,The population of the United States was stabilized at forty-million souls.,La población del país se había estabilizado en cuarenta millones de almas.,0.11555296
129,144,"""Triplets!"" he said.",—¡Trillizos! ~~~ —dijo él.,0.11579853
29,38,The orderly looked in at the mural and the muralist.,El celador observó el mural y al muralista.,0.11711514
120,135,"""We're going to be in the same picture together,"" she said shyly.",—Vamos a estar en el mismo cuadro juntos —dijo con timidez.,0.11908531
4,6,"Death, barring accidents, was an adventure for volunteers.","La muerte, sin contar los accidentes, era una aventura solo apta para voluntarios.",0.12171507
139,154,"What's the name?""""",¿Cómo se llama?,0.12354106
8,10,Not many people were born a day any more.,Ya no nacía mucha gente un día cualquiera.,0.12417531
210,229,"It might even be earlier, if we get a cancellation.""""",Podría ser incluso antes si tenemos alguna cancelación.,0.12547952
21,26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.","Los hombres y las mujeres vestidos con uniformes violeta quitaban la maleza, talaban las plantas viejas o enfermas, rastrillaban las hojas, llevaban la basura al incinerador.",0.12581825
191,209,"And then he shot himself, making room for all three of his children.",Y luego se disparó y así hizo lugar para sus tres hijos.,0.12761557
160,176,"Without population control, human beings would now be packed on this surface of this old planet like drupelets on a blackberry!","¡Sin control de la población, los seres humanos estaríamos comprimidos en la superficie de este viejo planeta como drupas en una mora!",0.12918198
215,234,"But the deepest thanks of all is from future generations.""",Pero el agradecimiento más grande es el de las generaciones futuras.,0.13173151
177,194,"I should have said, 'Ethical Suicide Studios,'"""" he said.""",Debería haber dicho: ‘Estudios de suicidio ético’ —dijo.,0.13457942
201,219,He knew that he would never paint again.,Sabía que no volvería a pintar.,0.13548255
168,185,"""I don't want my grandfather to die, either,"" said Wehling.",—Pero tampoco quiero que se muera mi abuelo —dijo Quejada.,0.1364485
78,91,"Or something,"""" said the painter.",—Algo así —dijo el pintor.,0.13785946
93,106,I don't do any disposing.,No me encargo de los residuos.,0.14123827
182,199~~~200,"He shook his head. ~~~ Two centuries ago, when I was a young man, it was a hell that nobody thought could last another twenty years.","—Asintió con la cabeza—. ~~~ Hace dos siglos, cuando yo era joven, era un infierno que nadie creía duraría veinte años más.",0.14151967
77,90,"Looks just like heaven or something.""""",Parece que fuera el cielo o algo así.,0.14234537
175,192,"Forgive me.""""",Perdóneme.,0.14238298
15,17~~~18,Chairs and ashtrays had been moved away from the walls. ~~~ The floor was paved with spattered dropcloths.,Se habían apartado las sillas y los ceniceros de la pared y el suelo estaba recubierto de telas manchadas.,0.14285153
35,44~~~45,"He was referring to one of the male figures in white, whose head was a portrait of Dr. Benjamin Hitz, the hospital's Chief Obstetrician. ~~~ Hitz was a blindingly handsome man.","Se refería a una de las figuras masculinas de blanco cuya cabeza era un retrato del doctor Benjamín Atiza, el jefe de Obstetricia del hospital. ~~~ Atiza era de una belleza arrolladora.",0.14379215
9,11,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.","Quejada tenía cincuenta y seis años, apenas un mozalbete si tenemos en cuenta que la población tenía una edad media de ciento veintinueve años.",0.14443767
89,102,"As a master of fine art, I recommend this body here.""""","Como maestro de las bellas artes, le recomiendo este cuerpo de aquí.",0.15092921
13,15,"He was so rumpled, so still and colorless as to be virtually invisible.","Estaba tan desaliñado, paralizado y pálido que era prácticamente invisible.",0.1514942
187,205,"There's room for one—a great big one,"" he said.","—Ya hay lugar para uno, un espacio bien grande —dijo.",0.15278071
196,214,All the answers that the painter could think of were grim.,Todas las respuestas que se le ocurrían al pintor eran desoladoras.,0.15440017
61,73~~~74,"Wehling, the waiting father, mumbled something without raising his head. ~~~ And then he fell silent again.","Quejada, el padre en espera, masculló algo ininteligible sin levantar la cabeza y no volvió a decir nada.",0.15463376
165,182,"I want all three of them.""""",Los quiero a los tres.,0.15472895
113,127,What she did was make people comfortable while she killed them.,Lo que hacía era hacer que las personas estuvieran cómodas mientras las asesinaba.,0.1574378
82,95,You're entitled to be immortalized.,Tiene derecho a ser inmortalizada.,0.15926331
63,76,"Her shoes, stockings, trench coat, bag and overseas cap were all purple, the purple the painter called """"the color of grapes on Judgment Day.""""","Los zapatos, medias, gabardina, bolsa y el gorro eran violetas, el violeta que el pintor llamaba «el color de las uvas del juicio final».",0.16038114
213,232,"Thank you, sir,"""" said the hostess.","—Muchas gracias, señor —dijo la azafata—.",0.16039425
186,204,Wehling shot Dr. Hitz dead.,Quejada mató al Dr. Atiza de un disparo.,0.16141391
142,157,"He raised his right hand, looked at a spot on the wall, gave a hoarsely wretched chuckle.","Levantó la mano, miró a un punto de la pared y soltó una risa ronca y quejosa.",0.16293103
88,101,"A body's a body, eh?"""" he said, ""All righty.",—Un cuerpo es un cuerpo —dijo—.,0.16465306
133,148,"Triplets, if they were all to live, called for three volunteers.","Los trillizos, para vivir, requerían tres voluntarios.",0.16520333
16,19~~~20,The room was being redecorated. ~~~ It was being redecorated as a memorial to a man who had volunteered to die.,Se estaba renovando la sala para conmemorar a un hombre que se había ofrecido voluntario para morir.,0.16681325
164,181,"I want those kids,"""" said Wehling quietly.",—Yo los quiero a los niños —dijo Quejada en voz baja—.,0.16852611
176,193,"He corrected himself, gave the municipal gas chambers their official title, a title no one ever used in conversation.","—Se corrigió y dio a las cámaras de gas municipales su nombre oficial, un nombre que nunca nadie usaba al hablar—.",0.16936624
53,64~~~65,"""To be or not to be"" was the telephone number of the municipal gas chambers of the Federal Bureau of Termination. ~~~ The painter thumbed his nose at the orderly.",«Ser o no ser» era el número de teléfono de las cámaras de gas municipales de la Agencia Central de Extinción. ~~~ El pintor miró al celador con desprecio.,0.17075324
85,98,She studied the mural bleakly.,Estudió el mural algo desalentada.,0.17287266
183,201,"Now centuries of peace and plenty stretch before us as far as the imagination cares to travel.""""","Ahora, siglos de paz y abundancia se extienden ante nosotros hasta donde alcanza la imaginación.",0.17669547
155,170,"You don't believe in population control, Mr. Wehling?"""" he said.","—¿No cree en el control de la población, señor Quejada? ~~~ —dijo.",0.18275124
22,27,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.","Jamás de los jamases, ni siquiera en los Países Bajos del medioevo ni en el Japón de la antigüedad, se había visto un jardín tan elegante ni mejor atendido.",0.1834482
135,150,"""Last I heard,"" said Dr. Hitz, ""they had one, and were trying to scrape another two up.""",—Lo último que sé —dijo el doctor Atiza— es que tenían uno y que estaban intentando rebuscar otros dos.,0.1851576
153,168,"All I have to do is pick out which one of the triplets is going to live, then deliver my maternal grandfather to the Happy Hooligan, and come back here with a receipt.""""","Solo tengo que elegir cuál de los trillizos va a vivir, luego entregar a mi abuelo materno a Gamberro feliz y volver con el recibo.",0.18759054
156,171~~~172,"""I think it's perfectly keen,"" said Wehling tautly. ~~~ ""Would you like to go back to the good old days, when the population of the Earth was twenty billion—about to become forty billion, then eighty billion, then one hundred and sixty billion?","—Me parece una verdadera fiesta —dijo Quejada con cierta tensión. ~~~ —¿Le gustaría volver a los viejos tiempos, cuando la población de la Tierra era de veinte mil millones, a punto de convertirse en cuarenta, luego ochenta y luego ciento sesenta mil millones?",0.18917239
209,228,"We could probably fit you in late this afternoon, sir,"""" she said.","—Seguramente lo podamos acomodar esta tarde a última hora, señor —dijo—.",0.19113374
23,28,"Every plant had all the loam, light, water, air and nourishment it could use.","Las plantas disponían de toda la tierra, luz, agua, aire y fertilizante necesarios.",0.1916027
123,138,"""I sure am honored to be in it with you,"" she said.",—Es un honor para mí estar junto a usted —dijo ella.,0.19340622
24,29,"A hospital orderly came down the corridor, singing under his breath a popular song:","Por el pasillo, se acercaba un celador cantando en voz baja una canción popular:",0.1948961
45,56,"Frame that, and you'll have a picture a damn sight more honest than this one.""""",Enmárcala y tendrás un cuadro más honesto que este.,0.19496202
99,112,"How about her?"""" he said.",¿Y ella? ~~~ —dijo—.,0.1965872
18,22~~~23,"Back in the days when people aged visibly, his age would have been guessed at thirty-five or so. ~~~ Aging had touched him that much before the cure for aging was found.","En los tiempos en que las personas envejecían de manera visible, se hubiera dicho que tenía unos treinta y cinco más o menos porque eran justo esos los años que había cumplido antes de que se encontrara la cura para el envejecimiento.",0.19751501
189,207,"It's only death,"""" he said to her as she fell.",—Tan solo es morirse —le dijo mientras caía al suelo—.,0.19892061
12,14,"Young Wehling was hunched in his chair, his head in his hand.",El joven Quejada se sentaba encorvado con la cabeza entre las manos.,0.20072114
115,129,"He was seven feet tall, and he boomed with importance, accomplishments, and the joy of living.","Medía dos metros y su figura desprendía importancia, éxito y alegría de vivir.",0.20084131
90,103,He indicated a faceless figure of a woman who was carrying dried stalks to a trash-burner.,—Y señaló a la figura sin rostro de una mujer que llevaba unas ramas secas al incinerador.,0.20239294
136,151,"I don't think they made it,"""" she said.",—Creo que no lo consiguieron —dijo—.,0.20382172
64,77,"The medallion on her purple musette bag was the seal of the Service Division of the Federal Bureau of Termination, an eagle perched on a turnstile.",El medallón en la bolsa violeta llevaba el escudo de la División de servicio de la Agencia Central de Extinción: un águila posada sobre un molinete.,0.20488745
66,79,"A curious thing about gas-chamber hostesses was that, no matter how lovely and feminine they were when recruited, they all sprouted mustaches within five years or so.","Lo curioso de las azafatas de la cámara de gas era que, aunque fueran muy dulces y femeninas al llegar, siempre les acababa saliendo bigote en los cinco primeros años de servicio.",0.20687246
211,230,"All right,"""" said the painter, """"fit me in, if you please.""""","—Bien —dijo el pintor—, apúnteme, si es tan amable.",0.20739615
79,92,He took a list of names from his smock pocket.,Sacó una lista de nombres de la bata—.,0.2085762
74,87,"""What?"" she said.",—¿Cómo? ~~~ —dijo ella.,0.21200502
185,203,The smile faded as he saw that Wehling had just drawn a revolver.,La sonrisa se disipó en cuanto vio que Quejada había sacado un revólver.,0.21295321
43,54,The painter gestured at a foul dropcloth.,El pintor señaló una tela inmunda.,0.21612287
6,8,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.","Una mañana radiante en el Hospital Materno Infantil de la ciudad, un hombre llamado Eduardo Quejada esperaba a que diera a luz su mujer.",0.21769857
81,94,Yes—here you are.,"Sí, aquí está.",0.21783751
47,58,"""Is that a crime?"" said the painter.",—¿Es acaso un pecado? ~~~ —dijo el pintor.,0.21943188
200,218,He thought of starvation.,Pensó en la inanición.,0.22389299
41,52,"You think this is my idea of what life really looks like?""""""",¿Es que crees que esta es mi idea de la vida real?,0.22718358
2,3,"There were no prisons, no slums, no insane asylums, no cripples, no poverty, no wars.","Habían desaparecido las cárceles, los barrios bajos, los manicomios, la discapacidad, la pobreza, las guerras.",0.23341978
98,111,He pointed to a figure in purple who was sawing a dead branch from an apple tree.,—Y señalo a una figura de violeta que cortaba una rama muerta de un manzano—.,0.23393047
152,167,He gestured with his hands to symbolize care-free simplicity.,Hizo un gesto con las manos que simbolizaba despreocupación—.,0.23462474
40,51,"You think I'm proud of this daub?"""" he said.",—¿Es que acaso piensas que estoy orgulloso de este pintarrajo? ~~~ —dijo—.,0.23575455
131,146,She was exclaiming over the legal implications of triplets.,"—exclamó ella, por las implicaciones legales que suponía tener trillizos.",0.23692465
141,156,"Edward K. Wehling, Jr., is the name of the happy father-to-be.""""",Eduardo Quejada es el nombre del futuro padre feliz.,0.23925167
161,177,"Think of it!""""""",¡Imagínese!,0.2418592
184,202,He smiled luminously.,Sonrió intensamente.,0.24433994
134,149,"""Do the parents have three volunteers?"" said Leora Duncan.",—¿Tienen tres voluntarios los padres? ~~~ —dijo Salomé García.,0.24614638
146,161,"They just phoned me that your triplets have been born,"""" said Dr. Hitz.",—Me acaban de llamar para decirme que los trillizos ya nacieron —dijo el doctor Atiza—.,0.2483201
48,59,The orderly shrugged.,El celador se encogió de hombros.,0.24847084
33,42,"It's called 'The Happy Garden of Life,' you know.""""","Se llama El feliz jardín de la vida, ¿sabías?",0.2489984
104,117,"""It's—it's just such an honor.""",—dijo—. ~~~ Es… es todo un honor.,0.25183982
10,12,X-rays had revealed that his wife was going to have triplets.,La ecografía había desvelado que su mujer iba a tener trillizos.,0.2527722
202,220,He let his paintbrush fall to the drop-cloths below.,Dejó caer el pincel a las telas que cubrían el suelo.,0.2542755
102,115,"""That upsets you?"" he said.",—¿Y eso le molesta? ~~~ —dijo él.,0.2550168
150,165,"""You don't sound very happy,"" said Dr. Hitz.",—No parece muy contento —dijo el doctor Atiza.,0.25664234
121,136,"Good!"""" said Dr. Hitz heartily.",—¡Perfecto! ~~~ —dijo el doctor Atiza con entusiasmo—.,0.25716758
52,63,"It was the telephone number of an institution whose fanciful sobriquets included: ""Automat,"" ""Birdland,"" ""Cannery,"" ""Catbox,"" ""De-louser,"" ""Easy-go,"" ""Good-by, Mother,"" ""Happy Hooligan,"" ""Kiss-me-quick,"" ""Lucky Pierre,"" ""Sheepdip,"" ""Waring Blendor,"" ""Weep-no-more"" and ""Why Worry?""","Era un número de teléfono para una institución que tenía los siguientes apodos creativos: «Autoservicio», «Los pajaritos», «Envasados», «Arenero», «Despiojadora», «Salida fácil», «Adiós, mamá», «Gamberro feliz», «Beso letal», «Final feliz», «Terminator», «La barbacoa», «Basta de sufrir», «No más angustia».",0.25888753
138,153,"Nothing but singles going through today, unless somebody called in after I left.","Solo tenemos citas individuales hoy, a no ser que alguien llamara cuando ya me había ido.",0.26061743
128,143,"""I can't,"" she said.",—No sé —dijo ella.,0.2612977
194,212,"The painter sat on the top of his stepladder, looking down reflectively on the sorry scene.",El pintor se quedó sentado en el último peldaño de la escalera y observó la malograda escena.,0.26172072
84,97,We've got a few choice ones left.,Aún nos quedan varias opciones de primera.,0.26495403
62,75,"A coarse, formidable woman strode into the waiting room on spike heels.",Una mujer grande e imponente que llevaba tacones de aguja entró con decisión a la sala de espera.,0.26569128
107,121,"Who doesn't admire him?"""" she said again.",¿Y quién no lo admira? ~~~ —repitió—.,0.26727152
37,47~~~48,"He meant that the faces of many of the figures in the mural were still blank. ~~~ All blanks were to be filled with portraits of important people on either the hospital staff or from the Chicago Office of the Federal Bureau of Termination.""",Se refería a que todavía quedaban muchas figuras en el mural con las cabezas sin rostro que debían completarse con retratos de personas importantes del hospital o de la oficina local de la Agencia Central de Extinción.,0.26906824
154,169,"Dr. Hitz became rather severe with Wehling, towered over him.",El doctor Atiza se mostró duro con Quejada y se inclinó sobre él.,0.26992464
14,16,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",El camuflaje era ideal porque la sala de espera ya tenía un aspecto desordenado y desmoralizador.,0.2701369
158,174,"""Nope,"" said Wehling sulkily.",—Nop —dijo Quejada enfurruñado.,0.27030456
72,85,She waited.,— Y esperó.,0.27055848
109,123,"""Nothing would please me more,"" said the painter, ""than to put you next to him for all time.",—No se me ocurre un placer más grande —dijo el pintor— que pintarla junto a él para la posteridad.,0.27219188
157,173,"Do you know what a drupelet is, Mr. Wehling?"" said Hitz.","¿Sabe lo que es una drupa, señor Quejada? ~~~ —dijo Atiza.",0.27247107
96,109,Of course the sheave-carrier is wrong for a hostess!,"¡Claro que no, una cargadora de gavillas no es apropiada para una azafata!",0.2767185
174,191,"You're absolutely right,"""" said Dr. Hitz.",—Tiene toda la razón —dijo el doctor Atiza—.,0.2800774
212,231,"And he gave her his name, spelling it out.",—Y le deletreó su nombre completo.,0.281201
95,108,"You say you don't know anything about art, and then you prove in the next breath that you know more about it than I do!""""","—¡Pero si dice que no sabe nada de arte y, de buenas a primeras, demuestra que sabe más que yo!",0.28141868
108,122,"He was responsible for setting up the very first gas chamber in Chicago.""""""",Fue el responsable de instalar la primera cámara de gas de la ciudad.,0.2815063
126,141,He saluted her and moved toward the door that led to the delivery rooms.,Le hizo un saludo militar y se dirigió a la puerta de la sala de partos.,0.28265023
144,159,"""Oh, Mr. Wehling,"" said Dr. Hitz, ""I didn't see you.""","—Vaya, señor Quejada —dijo el doctor Atiza—. ~~~ No lo había visto.",0.28326
179,196,"This child of yours—whichever one you decide to keep, Mr. Wehling,"""" said Dr. Hitz.","—Este hijo suyo, el que al fin decida conservar, señor Quejada —dijo el doctor Atiza—.",0.28365892
151,166,"What man in my shoes wouldn't be happy?"""" said Wehling.",—¿Qué hombre no estaría contento en mi lugar? ~~~ —dijo Quejada.,0.28632903
171,188,"""What?"" said Dr. Hitz.",—¿Cómo? ~~~ —dijo el doctor Atiza.,0.2898463
0,1,2BR02B,S3R0N0S3R,0.29320234
94,107,The painter clapped his hands in mock delight.,El pintor aplaudió con falsa complacencia.,0.29485214
83,96,See any faceless body here you'd like me to stick your head on?,¿Se ha fijado en algún cuerpo sin rostro donde le gustaría que metiera su cabecita?,0.29547298
97,110,"A snipper, a pruner—that's more your line.","Una cortadora, una podadora estaría más en su línea.",0.29591894
76,89,"That sure is a beautiful picture,"""" she said.",—¡Qué cuadro tan bonito! ~~~ —dijo—.,0.29903537
86,99,"Gee,"""" she said, """"they're all the same to me.","—Vaya —dijo—, si se parecen todos.",0.3051638
36,46,"Lot of faces still to fill in,"""" said the orderly.",—Todavía quedan muchas cabezas por completar —dijo el celador.,0.30603236
54,66,"When I decide it's time to go,"""" he said, """"it won't be at the Sheepdip.""""",—Cuando decida que ha llegado la hora —dijo— no será con Terminator.,0.3125975
65,78,"The woman had a lot of facial hair—an unmistakable mustache, in fact.","La mujer tenía mucho vello, en realidad, tenía un inconfundible bigote.",0.31294382
39,50,The painter's face curdled with scorn.,El pintor lo miró con desdén.,0.3142643
44,55,"There's a good picture of it,"""" he said.",—Ahí tienes una buena imagen de la vida —dijo—.,0.3160578
42,53,"""What's your idea of what life looks like?"" said the orderly.",—¿Cuál es su idea de la vida real? ~~~ —dijo el celador.,0.31829607
55,67,"A do-it-yourselfer, eh?"""" said the orderly.","—Ah, un autodidacta, ¿eh? ~~~ —dijo el celador—.",0.31869185
148,163,"I'm on my way in to see them now.""""","De hecho, iba a verlos ahora.",0.31924427
124,139,"""Let me tell you,"" he said, ""I'm honored to be in it with you.","—Le digo una cosa —dijo él—, el honor es todo mío.",0.32181615
207,226,"""Federal Bureau of Termination,"" said the very warm voice of a hostess.",—Agencia Central de Extinción —dijo la dulce voz de la azafata.,0.32260144
30,39,"Looks so real,"""" he said, """"I can practically imagine I'm standing in the middle of it.""""",—Parece tan real —dijo—. ~~~ Es que me puedo imaginar ahí mismo en el medio de ese jardín.,0.325899
159,175,"A drupelet, Mr. Wehling, is one of the little knobs, one of the little pulpy grains of a blackberry,"""" said Dr. Hitz.","—Una drupa, señor Quejada, es la parte pequeñita, los granitos carnosos de la mora —dijo el doctor Atiza—.",0.33461714
60,72,The orderly laughed and moved on.,El celador se marchó riéndose.,0.3380226
38,49,"""Must be nice to be able to make pictures that look like something,"" said the orderly.",—Debe ser interesante pintar cuadros que se parecen a algo —dijo el celador.,0.33942378
190,208,"There! Room for two.""""",Ya hay lugar para dos.,0.3412742
7,9,He was the only man waiting.,Era el único.,0.35860634
130,145,"Triplets!"""" she said.",—¡Trillizos!,0.35923165
32,41,He gave a satiric smile.,—dijo el pintor con una sonrisa irónica—.,0.35936832
25,30~~~31~~~32~~~33,"If you don't like my kisses, honey, ~~~ Here's what I will do: ~~~ I'll go see a girl in purple, ~~~ Kiss this sad world toodle-oo.","Si no deseas mis besos, amor, otro rumbo tomaré: y a una de violeta, con fervor, este cuerpo donaré.",0.36040354
31,40,"What makes you think you're not in it?"""" said the painter.",—¿Y qué te hace pensar que no estás en el medio?,0.3605144
170,187,"""I wish people wouldn't call it that,"" said Leora Duncan.",—Me gustaría que la gente no lo llamara así —dijo Salomé García.,0.37487006
149,164,"""Hooray,"" said Wehling emptily.",—¡Hurra! ~~~ —dijo Quejada sin entusiasmo.,0.37535006
111,125,"That is kind of like what I do,"""" she said.",—Es más o menos lo que hago —dijo.,0.3868581
56,68,"Messy business, Grandpa.","Abuelo, es un poco complicado.",0.39481437
34,43,"""That's good of Dr. Hitz,"" said the orderly.",—¡Qué majo el doctor Atiza! ~~~ —dijo el celador.,0.39615405
166,183,"Of course you do,"""" said Dr. Hitz.",—Y claro que los quiere —dijo el doctor Atiza—.,0.39797175
204,223,But he didn't have the nerve.,Pero le faltó coraje.,0.40337402
1,2,Everything was perfectly swell.,Todo iba viento en popa.,0.40439695
197,215,"Even grimmer, surely, than a Catbox, a Happy Hooligan, an Easy Go.","Con certeza más que el Arenero, Gamberro feliz o Salida fácil.",0.4051655
51,62,"The number was: ""2 B R 0 2 B.""",El número era: «S 3 R 0 N 0 S 3 R ».,0.40556133
167,184,"That's only human.""""",Desearlos es humano.,0.40811396
110,124,"Sawing off a limb—that strikes you as appropriate?""",¿Le parece apropiado cortando una extremidad?,0.41105747
169,186,"""Nobody's really happy about taking a close relative to the Catbox,"" said Dr. Hitz gently, sympathetically.","—Nadie se vuelve loco por llevar a un pariente cercano al Arenero —dijo amablemente el doctor Atiza, con compasión.",0.41409928
208,227,"""How soon could I get an appointment?"" he asked, speaking very carefully.",—¿Para cuándo es la primera cita disponible? ~~~ —preguntó con lentitud.,0.41592252
114,128,"And, while Leora Duncan was posing for her portrait, into the waitingroom bounded Dr. Hitz himself.","Y mientras que Salomé García posaba para su retrato, entró enérgicamente el mismísimo doctor Atiza.",0.41956902
46,57,"""You're a gloomy old duck, aren't you?"" said the orderly.","—Es usted unas castañuelas, ¿eh? ~~~ —dijo el celador.",0.41962206
178,195,"""That sounds so much better,"" said Leora Duncan.",—Así suena muchísimo mejor —dijo Salomé García.,0.4218135
28,37,Let some sweet baby have my place.,Y un bebé aquí dejaré.,0.4469145
68,81,"A lot would depend on what your business was,"""" he said.",—Dependerá de lo que la trae hasta aquí —dijo él—.,0.44794124
172,189,"I wish people wouldn't call it 'the Catbox,' and things like that,"""" she said.",—Me gustaría que la gente no lo llamara ‘el Arenero’ o apodos similares —dijo—.,0.45081478
71,84,"My name's Leora Duncan.""",Me llamo Salomé García.,0.45835322
59,71,"The world could do with a good deal more mess, if you ask me,"""" he said.","—A decir verdad, al mundo no le vendrían mal bastantes más complicaciones —dijo.",0.4684645
101,114,"""Gosh—"" she said, and she blushed and became humble—""that—that puts me right next to Dr. Hitz.""",—Madre mía —se sonrojó y dijo modestamente—: pero eso significaría estar junto al doctor Atiza.,0.48198748
91,104,"Well,"""" said Leora Duncan, """"that's more the disposal people, isn't it?","—Bueno —dijo Salomé García—, pero esos son los encargados de residuos, ¿no?",0.49847806
11,13,The children would be his first.,Quejada era padre primerizo.,0.5028553
73,86,"""And you dunk people,"" he said.","—Ah, usted es la que corta cabezas —dijo el pintor.",0.5183835
188,206,And then he shot Leora Duncan.,"Acto seguido, le disparó a Salomé García.",0.52412164
69,82,"You aren't about to have a baby, are you?""""","No está a punto de parir, ¿no?",0.52594566
116,130,"Well, Miss Duncan!","—Pero bueno, ¡señorita Salomé!",0.5358911
3,4~~~5,All diseases were conquered. ~~~ So was old age.,"No solo se había erradicado la enfermedad, sino también la vejez.",0.5391981
