segment,sentence,classification
59~~~60~~~61~~~62,"The orderly shrugged. ~~~ If you don't like it here, Grandpa—"""" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call. ~~~ The zero in the telephone number he pronounced """"naught."""" ~~~ The number was: ""2 B R 0 2 B.""",1
63~~~64~~~65,"It was the telephone number of an institution whose fanciful sobriquets included: ""Automat,"" ""Birdland,"" ""Cannery,"" ""Catbox,"" ""De-louser,"" ""Easy-go,"" ""Good-by, Mother,"" ""Happy Hooligan,"" ""Kiss-me-quick,"" ""Lucky Pierre,"" ""Sheepdip,"" ""Waring Blendor,"" ""Weep-no-more"" and ""Why Worry?"" ~~~ ""To be or not to be"" was the telephone number of the municipal gas chambers of the Federal Bureau of Termination. ~~~ The painter thumbed his nose at the orderly.",1
66,"When I decide it's time to go,"""" he said, """"it won't be at the Sheepdip.""""",1
67,"A do-it-yourselfer, eh?"""" said the orderly.",1
68,"Messy business, Grandpa.",1
69,"Why don't you have a little consideration for the people who have to clean up after you?""""",1
70,The painter expressed with an obscenity his lack of concern for the tribulations of his survivors.,1
71,"The world could do with a good deal more mess, if you ask me,"""" he said.",1
72,The orderly laughed and moved on.,0
74,And then he fell silent again.,0
75,"A coarse, formidable woman strode into the waiting room on spike heels.",1
76,"Her shoes, stockings, trench coat, bag and overseas cap were all purple, the purple the painter called """"the color of grapes on Judgment Day.""""",1
77,"The medallion on her purple musette bag was the seal of the Service Division of the Federal Bureau of Termination, an eagle perched on a turnstile.",1
79,"A curious thing about gas-chamber hostesses was that, no matter how lovely and feminine they were when recruited, they all sprouted mustaches within five years or so.",1
83,"They told me I was supposed to pose for some picture,"""" she said.",0
84,"My name's Leora Duncan.""",0
85,She waited.,0
86,"""And you dunk people,"" he said.",1
87,"""What?"" she said.",0
88,"""Skip it,"" he said.",1
90,"Looks just like heaven or something.""""",1
91,"Or something,"""" said the painter.",0
92,He took a list of names from his smock pocket.,0
93,"Duncan, Duncan, Duncan,"""" he said, scanning the list.",1
94,Yes—here you are.,0
96,See any faceless body here you'd like me to stick your head on?,1
97,We've got a few choice ones left.,1
99~~~100,"Gee,"""" she said, """"they're all the same to me. ~~~ I don't know anything about art.""""",1
101,"A body's a body, eh?"""" he said, ""All righty.",1
102~~~103,"As a master of fine art, I recommend this body here."""" ~~~ He indicated a faceless figure of a woman who was carrying dried stalks to a trash-burner.",1
104,"Well,"""" said Leora Duncan, """"that's more the disposal people, isn't it?",1
105,"I mean, I'm in service.",1
107,The painter clapped his hands in mock delight.,1
108,"You say you don't know anything about art, and then you prove in the next breath that you know more about it than I do!""""",1
109,Of course the sheave-carrier is wrong for a hostess!,1
110,"A snipper, a pruner—that's more your line.",1
111~~~112~~~113,"He pointed to a figure in purple who was sawing a dead branch from an apple tree. ~~~ How about her?"""" he said.  ~~~ You like her at all?""""",1
114,"""Gosh—"" she said, and she blushed and became humble—""that—that puts me right next to Dr. Hitz.""",1
115,"""That upsets you?"" he said.",0
116,"""Good gravy, no!"" she said.",1
117,"""It's—it's just such an honor.""",1
118,"""Ah, You... you admire him, eh?"" he said.",1
119,"Who doesn't admire him?"""" she said, worshiping the portrait of Hitz.",1
120,"It was the portrait of a tanned, white-haired, omnipotent Zeus, two hundred and forty years old.",1
121,"Who doesn't admire him?"""" she said again.",0
122,"He was responsible for setting up the very first gas chamber in Chicago.""""""",0
124,"Sawing off a limb—that strikes you as appropriate?""",1
125,"That is kind of like what I do,"""" she said.",1
126,She was demure about what she did.,0
127,What she did was make people comfortable while she killed them.,1
128,"And, while Leora Duncan was posing for her portrait, into the waitingroom bounded Dr. Hitz himself.",1
129,"He was seven feet tall, and he boomed with importance, accomplishments, and the joy of living.",1
130,"Well, Miss Duncan!",1
131,"Miss Duncan!"""" he said, and he made a joke.",0
132,"What are you doing here?"""" he said.",0
133~~~134,"This isn't where the people leave. ~~~ This is where they come in!""""",1
137,"And, say, isn't that some picture?""""",1
138,"""I sure am honored to be in it with you,"" she said.",1
142,"Guess what was just born,"""" he said.",0
143,"""I can't,"" she said.",0
144,"""Triplets!"" he said.",0
149,"""Do the parents have three volunteers?"" said Leora Duncan.",0
150,"""Last I heard,"" said Dr. Hitz, ""they had one, and were trying to scrape another two up.""",1
151,"I don't think they made it,"""" she said.",0
152,Nobody made three appointments with us.,0
153,"Nothing but singles going through today, unless somebody called in after I left.",1
154,"What's the name?""""",0
155,"Wehling,"""" said the waiting father, sitting up, red-eyed and frowzy.",1
157,"He raised his right hand, looked at a spot on the wall, gave a hoarsely wretched chuckle.",1
161,"They just phoned me that your triplets have been born,"""" said Dr. Hitz.",1
162,"They're all fine, and so is the mother.",0
163,"I'm on my way in to see them now.""""",1
164,"""Hooray,"" said Wehling emptily.",1
165,"""You don't sound very happy,"" said Dr. Hitz.",0
166,"What man in my shoes wouldn't be happy?"""" said Wehling.",1
168,"All I have to do is pick out which one of the triplets is going to live, then deliver my maternal grandfather to the Happy Hooligan, and come back here with a receipt.""""",1
169,"Dr. Hitz became rather severe with Wehling, towered over him.",1
170,"You don't believe in population control, Mr. Wehling?"""" he said.",0
171,"""I think it's perfectly keen,"" said Wehling tautly.",1
172~~~173,"""Would you like to go back to the good old days, when the population of the Earth was twenty billion—about to become forty billion, then eighty billion, then one hundred and sixty billion? ~~~ Do you know what a drupelet is, Mr. Wehling?"" said Hitz.",1
174~~~175,"""Nope,"" said Wehling sulkily. ~~~ A drupelet, Mr. Wehling, is one of the little knobs, one of the little pulpy grains of a blackberry,"""" said Dr. Hitz.",1
176~~~177,"Without population control, human beings would now be packed on this surface of this old planet like drupelets on a blackberry! ~~~ Think of it!""""""",1
178,Wehling continued to stare at the same spot on the wall.,0
179,"""In the year 2000,"" said Dr. Hitz, ""before scientists stepped in and laid down the law, there wasn't even enough drinking water to go around, and nothing to eat but sea-weed—and still people insisted on their right to reproduce like jackrabbits.",1
180,"And their right, if possible, to live forever.""",0
181,"I want those kids,"""" said Wehling quietly.",0
182,"I want all three of them.""""",0
184,"That's only human.""""",1
185,"""I don't want my grandfather to die, either,"" said Wehling.",0
186,"""Nobody's really happy about taking a close relative to the Catbox,"" said Dr. Hitz gently, sympathetically.",1
188,"""What?"" said Dr. Hitz.",0
189,"I wish people wouldn't call it 'the Catbox,' and things like that,"""" she said.",1
190,"It gives people the wrong impression.""""",0
191,"You're absolutely right,"""" said Dr. Hitz.",0
192~~~193~~~194,"Forgive me."""" ~~~ He corrected himself, gave the municipal gas chambers their official title, a title no one ever used in conversation. ~~~ I should have said, 'Ethical Suicide Studios,'"""" he said.""",1
195,"""That sounds so much better,"" said Leora Duncan.",0
199~~~200,"He shook his head. ~~~ Two centuries ago, when I was a young man, it was a hell that nobody thought could last another twenty years.",1
201,"Now centuries of peace and plenty stretch before us as far as the imagination cares to travel.""""",1
202,He smiled luminously.,1
206,And then he shot Leora Duncan.,0
208,"There! Room for two.""""",1
209,"And then he shot himself, making room for all three of his children.",1
210,Nobody came running.,0
211,"Nobody, seemingly, heard the shots.",0
212,"The painter sat on the top of his stepladder, looking down reflectively on the sorry scene.",1
213~~~214,"The painter pondered the mournful puzzle of life demanding to be born and, once born, demanding to be fruitful ... to multiply and to live as long as possible—to do all that on a very small planet that would have to last forever. ~~~ All the answers that the painter could think of were grim.",1
215,"Even grimmer, surely, than a Catbox, a Happy Hooligan, an Easy Go.",1
216,He thought of war.,0
217,He thought of plague.,0
218,He thought of starvation.,0
219,He knew that he would never paint again.,0
220~~~221,"He let his paintbrush fall to the drop-cloths below. ~~~ And then he decided he had had about enough of life in the Happy Garden of Life, too, and he came slowly down from the ladder.",1
223,But he didn't have the nerve.,1
224,And then he saw the telephone booth in the corner of the room.,0
225,"He went to it, dialed the well-remembered number: """"2 B R 0 2 B.""""",1
226,"""Federal Bureau of Termination,"" said the very warm voice of a hostess.",1
227,"""How soon could I get an appointment?"" he asked, speaking very carefully.",0
228,"We could probably fit you in late this afternoon, sir,"""" she said.",1
229,"It might even be earlier, if we get a cancellation.""""",0
230~~~231,"All right,"""" said the painter, """"fit me in, if you please."""" ~~~ And he gave her his name, spelling it out.",1
232,"Thank you, sir,"""" said the hostess.",0
233,"""Your city thanks you; your country thanks you; your planet thanks you.",1
