segment,sentence,classification
99~~~100,"Gee,"""" she said, """"they're all the same to me. ~~~ I don't know anything about art.""""",1
106,I don't do any disposing.,1
107,The painter clapped his hands in mock delight.,1
109,Of course the sheave-carrier is wrong for a hostess!,1
110,"A snipper, a pruner—that's more your line.",1
116,"""Good gravy, no!"" she said.",1
117,"""It's—it's just such an honor.""",1
118,"""Ah, You... you admire him, eh?"" he said.",1
119,"Who doesn't admire him?"""" she said, worshiping the portrait of Hitz.",1
121,"Who doesn't admire him?"""" she said again.",0
125,"That is kind of like what I do,"""" she said.",1
126,She was demure about what she did.,0
128,"And, while Leora Duncan was posing for her portrait, into the waitingroom bounded Dr. Hitz himself.",0
129,"He was seven feet tall, and he boomed with importance, accomplishments, and the joy of living.",1
130,"Well, Miss Duncan!",1
131,"Miss Duncan!"""" he said, and he made a joke.",1
136,"Good!"""" said Dr. Hitz heartily.",1
137,"And, say, isn't that some picture?""""",1
141,He saluted her and moved toward the door that led to the delivery rooms.,0
142,"Guess what was just born,"""" he said.",0
143,"""I can't,"" she said.",1
145,"Triplets!"""" she said.",1
151,"I don't think they made it,"""" she said.",1
154,"What's the name?""""",0
155,"Wehling,"""" said the waiting father, sitting up, red-eyed and frowzy.",1
156,"Edward K. Wehling, Jr., is the name of the happy father-to-be.""""",1
158~~~159,"Present,"""" he said. ~~~ ""Oh, Mr. Wehling,"" said Dr. Hitz, ""I didn't see you.""",1
160,"""The invisible man,"" said Wehling.",1
161,"They just phoned me that your triplets have been born,"""" said Dr. Hitz.",0
163,"I'm on my way in to see them now.""""",0
164,"""Hooray,"" said Wehling emptily.",1
165,"""You don't sound very happy,"" said Dr. Hitz.",0
169,"Dr. Hitz became rather severe with Wehling, towered over him.",0
170,"You don't believe in population control, Mr. Wehling?"""" he said.",0
172~~~173,"""Would you like to go back to the good old days, when the population of the Earth was twenty billion—about to become forty billion, then eighty billion, then one hundred and sixty billion? ~~~ Do you know what a drupelet is, Mr. Wehling?"" said Hitz.",1
176~~~177,"Without population control, human beings would now be packed on this surface of this old planet like drupelets on a blackberry! ~~~ Think of it!""""""",1
178,Wehling continued to stare at the same spot on the wall.,0
181,"I want those kids,"""" said Wehling quietly.",1
182,"I want all three of them.""""",0
183,"Of course you do,"""" said Dr. Hitz.",0
184,"That's only human.""""",1
188,"""What?"" said Dr. Hitz.",0
190,"It gives people the wrong impression.""""",1
191,"You're absolutely right,"""" said Dr. Hitz.",1
195,"""That sounds so much better,"" said Leora Duncan.",0
196,"This child of yours—whichever one you decide to keep, Mr. Wehling,"""" said Dr. Hitz.",1
199~~~200,"He shook his head. ~~~ Two centuries ago, when I was a young man, it was a hell that nobody thought could last another twenty years.",1
201,"Now centuries of peace and plenty stretch before us as far as the imagination cares to travel.""""",1
202,He smiled luminously.,1
204,Wehling shot Dr. Hitz dead.,1
205,"There's room for one—a great big one,"" he said.",1
206,And then he shot Leora Duncan.,1
207,"It's only death,"""" he said to her as she fell.",1
209,"And then he shot himself, making room for all three of his children.",1
210,Nobody came running.,1
211,"Nobody, seemingly, heard the shots.",0
213~~~214,"The painter pondered the mournful puzzle of life demanding to be born and, once born, demanding to be fruitful ... to multiply and to live as long as possible—to do all that on a very small planet that would have to last forever. ~~~ All the answers that the painter could think of were grim.",1
215,"Even grimmer, surely, than a Catbox, a Happy Hooligan, an Easy Go.",1
216,He thought of war.,1
217,He thought of plague.,0
218,He thought of starvation.,0
219,He knew that he would never paint again.,0
223,But he didn't have the nerve.,1
224,And then he saw the telephone booth in the corner of the room.,0
225,"He went to it, dialed the well-remembered number: """"2 B R 0 2 B.""""",1
229,"It might even be earlier, if we get a cancellation.""""",0
230~~~231,"All right,"""" said the painter, """"fit me in, if you please."""" ~~~ And he gave her his name, spelling it out.",1
232,"Thank you, sir,"""" said the hostess.",1
233,"""Your city thanks you; your country thanks you; your planet thanks you.",0
